#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-13.7,30,59.636883
-12.58,30,59.668024
-13.75,30,59.699182
-13.59,30,59.730446
-14.18,30,59.762678
-13.28,30,59.798276
-13.18,30,59.83345
-13.55,30,59.871153
-12.98,30,59.910129
-13.47,30,59.948849
-12.97,30,59.982752
-13.12,30,60.014719
-13.55,30,61.597291
-12.91,30,61.637648
-13.63,30,61.673919
-13.64,30,61.708631
-13.82,30,61.744934
-13.84,30,61.778046
-12.72,30,61.813738
-13.41,30,61.846327
-13.08,30,61.880397
-13.62,30,61.912362
-13.78,30,61.94796
-12.37,30,61.983795
-13.3,30,62.016259
-12.48,30,62.048795
-13.77,30,62.084601
-13.01,30,62.122585
-13.33,30,62.159491
-14.43,30,62.198366
-13.64,30,62.232816
-11.88,30,62.267148
-12.76,30,62.303405
-14.4,30,62.33545
-13.78,30,62.372937
-14.17,30,62.406063
-13.47,30,62.437591
-13.57,30,62.472759
-11.73,30,62.506369
-12.63,30,62.540674
-14.49,30,62.577407
-13.29,30,62.608918
-13.08,30,62.646762
-14.17,30,62.684481
-13.85,30,62.723303
-13.34,30,62.760032
-14.13,30,62.793911
-13.75,30,62.833121
-12.49,30,62.870394
-13.67,30,62.906219
-13.35,30,62.938623
-13.72,30,62.971722
-13.15,30,63.006171
-12.49,30,63.042375
-14.07,30,63.077708
-13.11,30,63.10962
-13.34,30,63.141362
-13.13,30,63.173527
-13.33,30,63.205138
-13.24,30,63.238478
-12.58,30,63.272808
-13.34,30,63.310882
-13.29,30,63.34527
-12.33,30,63.381556
-13.69,30,63.415746
-14.2,30,63.448664
-13.87,30,63.484638
-12.92,30,63.518901
-13.52,30,63.553283
-13.13,30,63.58528
-13.95,30,63.61965
-12.24,30,63.654951
-12.7,30,63.68713
-12.98,30,63.721367
-13.7,30,63.760154
-13.26,30,63.803391
-12.95,30,63.843645
-13.54,30,63.87859
-13.29,30,63.909735
-13.48,30,63.945674
-12.86,30,65.520122
-13.59,30,65.555731
-13.37,30,65.588997
-13.37,30,65.625899
-13.6,30,65.660309
-13.86,30,65.694088
-13.65,30,65.732684
-14.09,30,65.765342
-13.8,30,65.798135
-14.1,30,65.830734
-12.14,30,65.867669
-14.01,30,65.904745
-13.92,30,65.94223
-12.94,30,65.978087
-12.0,30,66.008385
-14.03,30,66.040983
-13.2,30,66.080127
-14.25,30,66.119022
-13.27,30,66.153225
-13.94,30,66.188389
-12.06,30,66.221544
-12.87,30,66.253821
-12.75,30,66.291186
-13.21,30,66.322896
-13.56,30,66.359083
-14.08,30,66.391543
-13.94,30,66.426044
-13.81,30,66.459876
-13.39,30,66.498207
-14.03,30,66.530749
-12.36,30,66.56221
-14.23,30,66.594178
-13.76,30,66.63398
-13.23,30,66.677176
-14.29,30,66.715293
-12.94,30,66.748863
-12.03,30,66.781105
-14.1,30,66.815748
-14.13,30,66.850028
-13.87,30,66.892634
-13.65,30,66.933439
-13.88,30,66.976069
-13.25,30,67.009867
-13.27,30,67.041403
-14.27,30,67.078626
-13.55,30,67.116642
-12.78,30,67.151889
-13.61,30,67.184857
-11.93,30,67.219975
-14.03,30,67.254169
-13.59,30,67.291021
-13.43,30,67.324234
-13.42,30,67.356725
-13.77,30,67.391901
